Date et heure;Temps ecoule (s);Energie (eV);Polarisation;Intensite brute;;Energie (eV);Intensite moyenne (+50V);Intensite moyenne (-50V);SEY
2025-06-25 14:19:28;0.42;0.00;+50V;-5.005473E-10;;0.00;-5.6447484000e-10;;
2025-06-25 14:19:28;0.61;0.00;+50V;-4.463963E-10;;1.00;-5.8255428333e-10;;
2025-06-25 14:19:28;0.80;0.00;+50V;-6.394767E-10;;2.00;-6.1187458333e-10;;
2025-06-25 14:19:28;0.99;0.00;+50V;-6.535710E-10;;3.00;-5.5985421667e-10;;
2025-06-25 14:19:28;1.17;0.00;+50V;-5.823829E-10;;4.00;-6.1775851667e-10;;
2025-06-25 14:19:33;0.20;1.00;+50V;-6.033776E-10;;5.00;-6.0961475000e-10;;
2025-06-25 14:19:34;0.39;1.00;+50V;-5.703188E-10;;6.00;-5.4531971667e-10;;
2025-06-25 14:19:34;0.58;1.00;+50V;-5.746750E-10;;7.00;-6.2520931667e-10;;
2025-06-25 14:19:34;0.77;1.00;+50V;-6.008423E-10;;8.00;-6.4494115000e-10;;
2025-06-25 14:19:34;0.98;1.00;+50V;-5.295512E-10;;9.00;-6.1015335000e-10;;
2025-06-25 14:19:34;1.17;1.00;+50V;-6.165608E-10;;10.00;-5.6200075000e-10;;
2025-06-25 14:19:40;0.20;2.00;+50V;-7.164437E-10;;;;;
2025-06-25 14:19:40;0.37;2.00;+50V;-6.959594E-10;;;;;
2025-06-25 14:19:40;0.56;2.00;+50V;-4.616067E-10;;;;;
2025-06-25 14:19:40;0.75;2.00;+50V;-7.031539E-10;;;;;
2025-06-25 14:19:40;0.94;2.00;+50V;-4.483226E-10;;;;;
2025-06-25 14:19:41;1.13;2.00;+50V;-6.457612E-10;;;;;
2025-06-25 14:19:46;0.18;3.00;+50V;-5.305648E-10;;;;;
2025-06-25 14:19:46;0.37;3.00;+50V;-5.022706E-10;;;;;
2025-06-25 14:19:46;0.56;3.00;+50V;-6.448542E-10;;;;;
2025-06-25 14:19:46;0.75;3.00;+50V;-5.105864E-10;;;;;
2025-06-25 14:19:47;0.94;3.00;+50V;-6.480936E-10;;;;;
2025-06-25 14:19:47;1.13;3.00;+50V;-5.227557E-10;;;;;
2025-06-25 14:19:52;0.20;4.00;+50V;-6.985996E-10;;;;;
2025-06-25 14:19:52;0.39;4.00;+50V;-6.908890E-10;;;;;
2025-06-25 14:19:52;0.58;4.00;+50V;-4.534939E-10;;;;;
2025-06-25 14:19:53;0.77;4.00;+50V;-7.042766E-10;;;;;
2025-06-25 14:19:53;0.96;4.00;+50V;-4.506548E-10;;;;;
2025-06-25 14:19:53;1.15;4.00;+50V;-7.086372E-10;;;;;
2025-06-25 14:19:58;0.20;5.00;+50V;-6.655417E-10;;;;;
2025-06-25 14:19:58;0.39;5.00;+50V;-6.883606E-10;;;;;
2025-06-25 14:19:58;0.58;5.00;+50V;-4.879722E-10;;;;;
2025-06-25 14:19:59;0.77;5.00;+50V;-6.733551E-10;;;;;
2025-06-25 14:19:59;0.96;5.00;+50V;-4.972005E-10;;;;;
2025-06-25 14:19:59;1.15;5.00;+50V;-6.452584E-10;;;;;
2025-06-25 14:20:04;0.20;6.00;+50V;-4.864513E-10;;;;;
2025-06-25 14:20:04;0.39;6.00;+50V;-5.270144E-10;;;;;
2025-06-25 14:20:05;0.58;6.00;+50V;-6.429260E-10;;;;;
2025-06-25 14:20:05;0.77;6.00;+50V;-4.980121E-10;;;;;
